sample	PC1	PC2	PC3	group	database
GSE13355|GSM337221	1.82341005901366	-85.31987577	-33.31993999	NN	GSE13355
GSE13355|GSM337222	9.59897469853061	-85.23658297	-45.11914235	NN	GSE13355
GSE13355|GSM337223	2.21669877932559	-88.34152859	-25.95514445	NN	GSE13355
GSE13355|GSM337224	5.37463580954577	-81.67955255	-46.47490014	NN	GSE13355
GSE13355|GSM337225	7.92148937014781	-79.22562684	-45.17670515	NN	GSE13355
GSE13355|GSM337226	8.19061668078939	-75.47378542	-35.50221964	NN	GSE13355
GSE13355|GSM337227	0.766514002883468	-84.33678399	-36.30702819	NN	GSE13355
GSE13355|GSM337228	-0.118280661	-87.51417195	-33.51481054	NN	GSE13355
GSE13355|GSM337229	6.28751723653939	-86.74286832	-42.74908483	NN	GSE13355
GSE13355|GSM337230	9.14320046607364	-81.87736597	-36.81207157	NN	GSE13355
GSE13355|GSM337231	9.12409127366923	-80.6247541	-40.12614254	NN	GSE13355
GSE13355|GSM337232	8.73517783225485	-83.58442854	-43.13689819	NN	GSE13355
GSE13355|GSM337233	4.61420907753218	-89.62165352	-42.82549862	NN	GSE13355
GSE13355|GSM337234	6.35220313363218	-85.73748888	-42.68082434	NN	GSE13355
GSE13355|GSM337235	1.6356523139043	-87.02561715	-37.12384557	NN	GSE13355
GSE13355|GSM337236	-0.740722401	-90.19796369	-37.64913179	NN	GSE13355
GSE13355|GSM337237	-0.35050574	-86.29951524	-48.59536062	NN	GSE13355
GSE13355|GSM337238	4.11087297851726	-88.78512782	-39.46716627	NN	GSE13355
GSE13355|GSM337239	-1.341377468	-86.31475729	-17.35571337	NN	GSE13355
GSE13355|GSM337240	10.1247580887534	-68.16342317	-47.6222563	NN	GSE13355
GSE13355|GSM337241	-13.24020741	-100.6449319	-35.81223149	NN	GSE13355
GSE13355|GSM337242	-0.415550835	-80.99840886	-33.9308327	NN	GSE13355
GSE13355|GSM337243	16.7935320397385	-60.11065544	-60.68627433	NN	GSE13355
GSE13355|GSM337244	-5.002390462	-88.83660514	-44.47768235	NN	GSE13355
GSE13355|GSM337245	-0.943185888	-92.35073569	-41.04644136	NN	GSE13355
GSE13355|GSM337246	-7.424619986	-96.74549546	-39.79326312	NN	GSE13355
GSE13355|GSM337247	15.7508643294206	-51.88467785	-43.42276151	NN	GSE13355
GSE13355|GSM337248	15.8793077538411	-57.82395912	-53.57971161	NN	GSE13355
GSE13355|GSM337249	-3.807531121	-92.62160604	-34.97126673	NN	GSE13355
GSE13355|GSM337250	14.6181695081786	-59.66271572	-72.95824591	NN	GSE13355
GSE13355|GSM337251	-4.586017236	-92.25289808	-44.11753663	NN	GSE13355
GSE13355|GSM337252	0.539811611960764	-83.33546298	-49.00236054	NN	GSE13355
GSE13355|GSM337253	1.36218551119522	-78.08945262	-38.98985995	NN	GSE13355
GSE13355|GSM337254	2.3075085038678	-80.9756432	-40.24995778	NN	GSE13355
GSE13355|GSM337255	-2.900909593	-89.20845922	-38.40163214	NN	GSE13355
GSE13355|GSM337256	3.16568619927803	-76.11900075	-36.55557788	NN	GSE13355
GSE13355|GSM337257	2.26184711213234	-87.59328276	-50.86986406	NN	GSE13355
GSE13355|GSM337258	-4.494361026	-90.55458662	-36.26690081	NN	GSE13355
GSE13355|GSM337259	-10.28896815	-93.57350349	-35.06755278	NN	GSE13355
GSE13355|GSM337260	3.84580739037962	-79.37752143	-54.14641399	NN	GSE13355
GSE13355|GSM337319	-15.59244768	-89.54724348	76.2322775220653	PP	GSE13355
GSE13355|GSM337320	-2.788538598	-73.02096893	45.1604386284729	PP	GSE13355
GSE13355|GSM337321	-14.62287728	-84.10370468	65.9109571561595	PP	GSE13355
GSE13355|GSM337322	-5.387213505	-78.97653154	55.4607589298872	PP	GSE13355
GSE13355|GSM337323	-15.20390121	-100.544543	38.1913347987536	PP	GSE13355
GSE13355|GSM337324	-14.7607117	-92.50737353	66.7510853247841	PP	GSE13355
GSE13355|GSM337325	-21.98373329	-99.99707714	56.5909039509959	PP	GSE13355
GSE13355|GSM337326	-26.5357925	-105.9625996	49.9734480863171	PP	GSE13355
GSE13355|GSM337327	-8.056777278	-90.48655094	37.2972231976734	PP	GSE13355
GSE13355|GSM337328	-9.629895829	-89.34348196	52.2021321945048	PP	GSE13355
GSE13355|GSM337329	-19.90456805	-96.98944793	68.6724246481523	PP	GSE13355
GSE13355|GSM337330	1.8641050950848	-68.07363746	49.9585880673202	PP	GSE13355
GSE13355|GSM337331	-13.51272417	-94.67742511	63.141962329262	PP	GSE13355
GSE13355|GSM337332	-16.15100902	-94.88224152	72.9493706208427	PP	GSE13355
GSE13355|GSM337333	-7.930507153	-80.57757814	67.582072894284	PP	GSE13355
GSE13355|GSM337334	-7.078366416	-92.90444101	26.0933145619673	PP	GSE13355
GSE13355|GSM337335	-2.563783518	-75.37752518	67.2576821872105	PP	GSE13355
GSE13355|GSM337336	8.71549346674244	-66.61900447	22.6183533280588	PP	GSE13355
GSE13355|GSM337337	-8.58518573	-95.25306657	30.3093033686388	PP	GSE13355
GSE13355|GSM337338	-3.234348288	-77.48937262	58.9268185076186	PP	GSE13355
GSE13355|GSM337339	3.86815412	-78.15093848	21.6703440614872	PP	GSE13355
GSE13355|GSM337340	8.94370680059703	-71.52156549	12.9517410352647	PP	GSE13355
GSE13355|GSM337341	-5.781954687	-82.2541788	42.1811173245562	PP	GSE13355
GSE13355|GSM337342	-7.426372827	-82.82198982	62.0341075678058	PP	GSE13355
GSE13355|GSM337343	-3.710372926	-91.61527181	-0.036817094	PP	GSE13355
GSE13355|GSM337344	1.14322190307969	-74.72432358	54.4772440603332	PP	GSE13355
GSE13355|GSM337345	4.61623247493514	-75.23949884	37.6190561010791	PP	GSE13355
GSE13355|GSM337346	-2.527696095	-74.69251477	63.6743823187273	PP	GSE13355
GSE13355|GSM337347	-10.2594034	-76.24321721	71.9017805856065	PP	GSE13355
GSE13355|GSM337348	-11.17498672	-90.02502128	52.7750375071773	PP	GSE13355
GSE13355|GSM337349	-2.198886048	-74.96406158	48.7442721245736	PP	GSE13355
GSE13355|GSM337350	0.366144926576378	-79.78944129	35.4142256921575	PP	GSE13355
GSE13355|GSM337351	-3.932099105	-78.16528252	40.4572285353423	PP	GSE13355
GSE13355|GSM337352	6.28969977304378	-76.02453754	38.0285920966418	PP	GSE13355
GSE13355|GSM337353	2.79173600048267	-79.89858836	40.3016222785975	PP	GSE13355
GSE13355|GSM337354	2.69362944815165	-77.59571223	45.3430806850104	PP	GSE13355
GSE13355|GSM337355	11.5871140086864	-75.75408117	20.3819813853968	PP	GSE13355
GSE13355|GSM337356	-4.594707365	-84.21279494	62.4233191442528	PP	GSE13355
GSE13355|GSM337357	-1.211213642	-82.34895103	25.309489881487	PP	GSE13355
GSE13355|GSM337358	3.84111116608035	-66.04884729	59.1561963169426	PP	GSE13355
GSE13355|GSM337359	7.40166491620251	-76.30289848	8.58827322498965	PP	GSE13355
GSE13355|GSM337360	-0.092461955	-78.24164451	49.3248886331412	PP	GSE13355
GSE13355|GSM337361	0.16679288357522	-80.88027708	17.0824320638152	PP	GSE13355
GSE13355|GSM337362	-2.169046991	-80.33776908	17.6340532206531	PP	GSE13355
GSE13355|GSM337363	-1.151443957	-84.06937161	45.7340661419824	PP	GSE13355
GSE13355|GSM337364	7.55196766167393	-69.55724414	13.8925013638036	PP	GSE13355
GSE13355|GSM337365	-6.243179134	-79.36130331	51.0577803612555	PP	GSE13355
GSE13355|GSM337366	1.71102450936114	-71.34082028	33.9318940596178	PP	GSE13355
GSE13355|GSM337367	-3.335968758	-84.6881733	58.5220647821093	PP	GSE13355
GSE13355|GSM337368	-4.798349943	-90.61225178	21.2621883275388	PP	GSE13355
GSE13355|GSM337369	0.238127169776687	-77.7898562	16.7385159770579	PP	GSE13355
GSE13355|GSM337370	0.531673160930323	-73.21591988	69.34425694	PP	GSE13355
GSE13355|GSM337371	12.013900796672	-58.25226058	41.4811895488927	PP	GSE13355
GSE13355|GSM337372	-15.69976878	-90.41096562	51.1513273642817	PP	GSE13355
GSE13355|GSM337373	-4.071189134	-74.44897613	54.5191070715784	PP	GSE13355
GSE13355|GSM337374	-2.087675904	-80.67679181	39.2817605570011	PP	GSE13355
GSE13355|GSM337375	-7.999716435	-87.17300941	42.6109030546134	PP	GSE13355
GSE13355|GSM337376	-1.923237785	-77.26169029	68.0298381387825	PP	GSE13355
GSE14905|GSM372286	-187.1212251	116.26717084797	-62.64554084	NN	GSE14905
GSE14905|GSM372287	-188.2960329	123.832736862471	-79.43349094	NN	GSE14905
GSE14905|GSM372288	-194.7367577	117.699411381721	-89.20942841	NN	GSE14905
GSE14905|GSM372289	-191.9329329	107.208117654946	-89.70216418	NN	GSE14905
GSE14905|GSM372290	-186.4494426	120.469512424671	-72.59361609	NN	GSE14905
GSE14905|GSM372291	-200.0727068	119.356714136144	1.39899179298086	NN	GSE14905
GSE14905|GSM372292	-187.9995561	123.284858434336	-59.10856429	NN	GSE14905
GSE14905|GSM372293	-194.4924397	115.339766703872	-39.2943343	NN	GSE14905
GSE14905|GSM372294	-192.78996	114.668129053515	-63.53224265	NN	GSE14905
GSE14905|GSM372295	-189.5697798	124.000029551004	-46.81175582	NN	GSE14905
GSE14905|GSM372296	-186.3820798	124.881769593745	-73.92673777	NN	GSE14905
GSE14905|GSM372297	-189.6567994	117.5962746	-68.39565484	NN	GSE14905
GSE14905|GSM372298	-193.44872	105.371754980745	-67.92658763	NN	GSE14905
GSE14905|GSM372299	-189.7244826	114.22492129752	-24.5819648	NN	GSE14905
GSE14905|GSM372300	-194.5392548	119.972168866873	-35.29598775	NN	GSE14905
GSE14905|GSM372301	-194.1677213	113.212232440212	-46.46656433	NN	GSE14905
GSE14905|GSM372302	-188.3859909	120.186226366683	-58.15287095	NN	GSE14905
GSE14905|GSM372303	-200.9549925	109.251886173528	-30.08937118	NN	GSE14905
GSE14905|GSM372304	-192.3490067	109.254397138817	-68.72637186	NN	GSE14905
GSE14905|GSM372305	-197.6342179	111.373869807708	-69.85405799	NN	GSE14905
GSE14905|GSM372306	-195.7378013	112.326731728693	-51.52829698	NN	GSE14905
GSE14905|GSM372308	-195.6895724	115.132809287117	5.11032536342114	PP	GSE14905
GSE14905|GSM372310	-191.8211514	123.421451022786	11.4821472333822	PP	GSE14905
GSE14905|GSM372312	-196.1323316	121.844362050057	1.01105702947793	PP	GSE14905
GSE14905|GSM372314	-192.5277543	118.34321967669	1.48147433793177	PP	GSE14905
GSE14905|GSM372316	-202.308463	112.217121255575	53.5777603242526	PP	GSE14905
GSE14905|GSM372318	-196.4339757	120.498462497246	44.9762139784087	PP	GSE14905
GSE14905|GSM372320	-199.5998522	126.915160438289	60.67190784	PP	GSE14905
GSE14905|GSM372322	-197.746921	120.552260108097	54.9574829870212	PP	GSE14905
GSE14905|GSM372324	-198.4594712	118.517911727577	19.1242395243459	PP	GSE14905
GSE14905|GSM372325	-197.4167367	116.767656569358	-0.708885066	PP	GSE14905
GSE14905|GSM372327	-195.8086927	125.577423148346	50.8689019302821	PP	GSE14905
GSE14905|GSM372329	-197.6439843	117.907226004683	47.9761796739498	PP	GSE14905
GSE14905|GSM372331	-201.1616584	98.3415515557168	8.21681763255722	PP	GSE14905
GSE14905|GSM372333	-195.9241834	124.378894992982	-11.15158731	PP	GSE14905
GSE14905|GSM372334	-203.2725746	114.537058762338	57.4207323544986	PP	GSE14905
GSE14905|GSM372336	-196.8742209	109.302055389489	36.1741737292235	PP	GSE14905
GSE14905|GSM372338	-204.2890068	117.827159268578	81.1335436762956	PP	GSE14905
GSE14905|GSM372340	-201.1490942	120.146154118087	67.1326389757488	PP	GSE14905
GSE14905|GSM372342	-196.873368	127.25419655465	53.6066219723108	PP	GSE14905
GSE14905|GSM372344	-195.9279993	120.451425314459	57.9766559188432	PP	GSE14905
GSE14905|GSM372346	-202.0908268	106.182790088812	52.9213758610299	PP	GSE14905
GSE14905|GSM372348	-195.2229722	111.163997917972	32.912637656303	PP	GSE14905
GSE14905|GSM372350	-184.7538786	130.523449314496	15.8993323146586	PP	GSE14905
GSE14905|GSM372352	-193.4304344	113.252350089686	-20.15362905	PP	GSE14905
GSE14905|GSM372354	-200.880215	113.294911158005	54.3638884985343	PP	GSE14905
GSE14905|GSM372356	-189.9183133	127.433028147758	24.713450933975	PP	GSE14905
GSE14905|GSM372358	-190.4208538	120.455031506805	45.3077050488649	PP	GSE14905
GSE14905|GSM372360	-195.8435055	106.672608406563	44.4877816064985	PP	GSE14905
GSE14905|GSM372362	-197.3767114	106.746312514204	52.7104475484595	PP	GSE14905
GSE14905|GSM372364	-188.8228974	127.861430966786	33.4030978707369	PP	GSE14905
GSE14905|GSM372365	-192.2942976	121.283322485742	16.4667315193033	PP	GSE14905
GSE14905|GSM372366	-206.236125	115.155556146535	49.8554733701073	PP	GSE14905
GSE14905|GSM372367	-192.5711818	124.566541361402	15.4582145318719	PP	GSE14905
GSE78097|GSM2066635	327.03694375962	120.392175654232	31.9549512913175	PP	GSE78097
GSE78097|GSM2066636	325.373337681679	114.772627172573	28.0211330043245	PP	GSE78097
GSE78097|GSM2066637	326.483722796565	120.667178488166	39.6003816809981	PP	GSE78097
GSE78097|GSM2066638	325.85779688533	114.2320027	43.1575897831554	PP	GSE78097
GSE78097|GSM2066639	327.491907460314	132.749889113869	24.7246508266156	PP	GSE78097
GSE78097|GSM2066640	310.665463268718	116.434707839837	60.1222612632105	PP	GSE78097
GSE78097|GSM2066641	319.372303373683	112.896887652923	25.9585143299575	PP	GSE78097
GSE78097|GSM2066642	325.150114755456	124.87306235362	31.4127153444261	PP	GSE78097
GSE78097|GSM2066643	328.092917351814	123.597578287106	13.2388408607655	PP	GSE78097
GSE78097|GSM2066644	319.647228905254	113.152997490708	38.5310023082965	PP	GSE78097
GSE78097|GSM2066645	323.982994841579	117.290165906104	24.1872624958301	PP	GSE78097
GSE78097|GSM2066646	316.542004602336	113.061694800552	47.0768367232525	PP	GSE78097
GSE78097|GSM2066647	325.211211895681	117.386848996405	33.9700512620688	PP	GSE78097
GSE78097|GSM2066648	330.982488520404	123.023312619404	1.71280837107636	PP	GSE78097
GSE78097|GSM2066649	329.744460508154	124.776297297896	-9.818265444	PP	GSE78097
GSE78097|GSM2066650	331.700878513558	115.458120207839	-0.083012225	PP	GSE78097
GSE78097|GSM2066651	328.920266465315	113.489272714818	-20.08966714	PP	GSE78097
GSE78097|GSM2066652	324.115231823195	110.13746041666	13.0807542494307	PP	GSE78097
GSE78097|GSM2066653	334.072016676342	120.8536501	7.07493506907582	PP	GSE78097
GSE78097|GSM2066654	324.90898136439	109.024702731936	3.12656513865047	PP	GSE78097
GSE78097|GSM2066655	326.185441558912	109.185689940557	17.8078283419609	PP	GSE78097
GSE78097|GSM2066656	324.498185361848	102.755585438508	28.003226401362	PP	GSE78097
GSE78097|GSM2066657	328.105743378177	102.473102687509	11.1253034417488	PP	GSE78097
GSE78097|GSM2066658	330.222944216046	113.830929362999	10.9041970069334	PP	GSE78097
GSE78097|GSM2066659	328.314896488999	116.058703632494	27.522691098071	PP	GSE78097
GSE78097|GSM2066660	326.249346001022	104.855537070181	-1.959454178	PP	GSE78097
GSE78097|GSM2066661	323.806921544044	112.465928084966	14.8692488047973	PP	GSE78097
GSE78097|GSM2066662	320.739031803909	104.498113069603	-73.74925931	NN	GSE78097
GSE78097|GSM2066663	325.118302871417	108.132182011552	-91.30885519	NN	GSE78097
GSE78097|GSM2066664	319.404740598451	94.0442963792808	-87.61017293	NN	GSE78097
GSE78097|GSM2066665	315.08719195953	96.7495337408471	-71.05652594	NN	GSE78097
GSE78097|GSM2066666	322.029182406007	110.721581806922	-95.94622114	NN	GSE78097
GSE78097|GSM2066667	308.907217257455	101.25064024648	-94.95160506	NN	GSE78097
